,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
17/08/2024,1 / 65,De 87282 Até 87312,"661,1",0,0,"656,1",5,"664,1","656,1",0
,"Cartao de Debito 397, 30 - Cartao de Credito 184, 80 - Pagamento Instantâneo (PIX) 74, 00",,,,,,,,,
19/08/2024,1 / 65,De 87313 Até 87361,"1799,25",0,0,"1798,15","1,1","1799,35","1798,15",0
,"Cartao de Debito 831, 85 - Cartao de Credito 843, 50 - Pagamento Instantâneo (PIX) 122, 80",,,,,,,,,
20/08/2024,1 / 65,De 87362 Até 87384,837,0,0,765,72,909,765,0
,"Cartao de Debito 303, 00 - Cartao de Credito 139, 00 - Pagamento Instantâneo (PIX) 323, 00",,,,,,,,,
21/08/2024,1 / 65,De 87385 Até 87418,"893,5",0,0,"843,5",50,"941,5","843,5",0
,"Cartao de Debito 560, 50 - Cartao de Credito 170, 00 - Pagamento Instantâneo (PIX) 113, 00",,,,,,,,,
22/08/2024,1 / 65,De 87419 Até 87462,"1436,9",0,0,"1430,9",6,"1441,9","1430,9",0
,"Cartao de Debito 523, 40 - Cartao de Credito 557, 50 - Pagamento Instantâneo (PIX) 350, 00",,,,,,,,,
23/08/2024,1 / 65,De 87463 Até 87500,"1335,5",0,0,"1335,5",0,"1335,5","1335,5",0
,"Dinheiro 56, 00 - Cartao de Debito 859, 50 - Cartao de Credito 240, 00 - Pagamento Instantâneo (PIX) 180, 00",,,,,,,,,
24/08/2024,1 / 65,De 87501 Até 87554,"1580,9",0,0,"1522,7","58,2","1635,1","1522,7",0
,"Cartao de Debito 920, 70 - Cartao de Credito 353, 00 - Pagamento Instantâneo (PIX) 249, 00",,,,,,,,,
26/08/2024,1 / 65,De 87555 Até 87593,"1191,5",0,0,"1144,5",47,"1235,5","1144,5",0
,"Dinheiro 13, 00 - Cartao de Debito 412, 00 - Cartao de Credito 493, 00 - Pagamento Instantâneo (PIX) 226, 50",,,,,,,,,
27/08/2024,1 / 65,De 87594 Até 87632,"1286,6",0,0,"1282,6",4,"1290,6","1282,6",0
,"Cartao de Debito 1028, 50 - Cartao de Credito 184, 00 - Pagamento Instantâneo (PIX) 70, 10",,,,,,,,,
28/08/2024,1 / 65,De 87633 Até 87675,"1060,5",0,0,"1060,5",0,"1060,5","1060,5",0
,"Cartao de Debito 328, 50 - Cartao de Credito 351, 00 - Pagamento Instantâneo (PIX) 381, 00",,,,,,,,,
29/08/2024,1 / 65,De 87676 Até 87712,1329,0,0,1298,31,1359,1298,0
,"Dinheiro 16, 00 - Cartao de Debito 791, 00 - Cartao de Credito 109, 00 - Pagamento Instantâneo (PIX) 382, 00",,,,,,,,,
30/08/2024,1 / 65,De 87713 Até 87747,"842,8",0,0,"832,8",10,"847,8","832,8",0
