,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Cartao de Debito 950, 50 - Cartao de Credito 689, 50",,,,,,,,,
28/12/2023,1 / 65,De 79949 Até 79992,1177,0,0,1177,0,1177,1177,0
,"Dinheiro 10, 00 - Cartao de Debito 856, 00 - Cartao de Credito 311, 00",,,,,,,,,
29/12/2023,1 / 65,De 79993 Até 80034,"1493,1",0,0,"1475,1",18,"1506,1","1475,1",0
,"Cartao de Debito 529, 50 - Cartao de Credito 691, 80 - Pagamento Instantâneo (PIX) 253, 80",,,,,,,,,
30/12/2023,1 / 65,De 80035 Até 80081,"1599,5",0,0,"1590,5",9,"1596,5","1590,5",0
,"Cartao de Debito 719, 50 - Cartao de Credito 811, 00 - Pagamento Instantâneo (PIX) 60, 00",,,,,,,,,
02/01/2024,1 / 65,De 80082 Até 80118,"920,2",0,0,"909,8","10,4","930,6","909,8",0
,"Cartao de Debito 664, 80 - Cartao de Credito 245, 00",,,,,,,,,
03/01/2024,1 / 65,De 80119 Até 80145,"1092,5",0,0,"1065,5",27,"1117,5","1065,5",0
,"Dinheiro 95, 00 - Cartao de Debito 711, 00 - Cartao de Credito 259, 50",,,,,,,,,
04/01/2024,1 / 65,De 80146 Até 80183,"1024,5",0,0,"1024,5",0,"1022,5","1024,5",0
,"Cartao de Debito 709, 00 - Cartao de Credito 315, 50",,,,,,,,,
05/01/2024,1 / 65,De 80184 Até 80204,"928,5",0,0,"909,5",19,"945,5","909,5",0
,"Cartao de Debito 225, 50 - Cartao de Credito 684, 00",,,,,,,,,
06/01/2024,1 / 65,De 80205 Até 80259,"1992,2",0,0,"1942,2",50,"2032,2","1942,2",0
,"Cartao de Debito 1008, 00 - Cartao de Credito 789, 50 - Pagamento Instantâneo (PIX) 144, 70",,,,,,,,,
08/01/2024,1 / 65,De 80260 Até 80299,"1459,75",0,0,"1437,75",22,"1480,75","1437,75",0
,"Cartao de Debito 895, 75 - Cartao de Credito 542, 00",,,,,,,,,
09/01/2024,1 / 65,De 80300 Até 80337,"1119,9",0,0,"1105,9",14,"1132,4","1105,9",0
,"Cartao de Debito 647, 40 - Cartao de Credito 458, 50",,,,,,,,,
10/01/2024,1 / 65,De 80338 Até 80374,"1167,5",0,0,"1153,5",14,"1181,5","1153,5",0
,"Cartao de Debito 774, 50 - Cartao de Credito 329, 00 - Pagamento Instantâneo (PIX) 50, 00",,,,,,,,,
